N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP_PRICE,CROP,STATE
29,68,23,24.2,19.3,5.8,116.7,1800,KidneyBeans,Karnataka
32,68,19,24.6,18.2,5.5,149.7,1300,KidneyBeans,Karnataka
17,64,17,21,24.9,5.7,124.6,3000,KidneyBeans,Karnataka
13,69,19,17.3,20,5.9,115.2,1800,KidneyBeans,Karnataka
14,67,22,23.8,24.8,5.6,84.6,3600,KidneyBeans,Karnataka
9,69,20,19.3,24,5.6,129.3,1500,KidneyBeans,Karnataka
20,73,22,16,22.3,6,130.4,1400,KidneyBeans,Karnataka
40,78,20,19.2,20.8,5.7,80.2,2500,KidneyBeans,Karnataka
27,72,23,19.9,21.8,6,64,900,KidneyBeans,Karnataka
14,67,15,19.6,24.7,5.7,139.3,1400,KidneyBeans,Karnataka
7,56,18,18.3,24.3,5.7,76.1,3100,KidneyBeans,Karnataka
27,65,18,20.1,23.2,5.6,73.4,1400,KidneyBeans,Karnataka
30,63,16,23.6,21.9,5.5,100.6,1100,KidneyBeans,Karnataka
37,70,25,19.7,24.9,5.8,84.1,3800,KidneyBeans,Karnataka
27,63,19,20.9,21.2,5.6,133.2,1200,KidneyBeans,Karnataka
22,60,24,18.8,20.2,5.6,104.3,1200,KidneyBeans,Karnataka
3,72,24,36.5,57.9,6,122.7,3000,PigeonPeas,Karnataka
40,59,23,36.9,62.7,5.3,163.7,1000,PigeonPeas,Karnataka
33,73,23,29.2,59.4,6,103.3,400,PigeonPeas,Karnataka
27,57,24,27.3,43.4,6.1,142.3,3800,PigeonPeas,Karnataka
10,79,18,21.1,55.5,5.6,184.6,1000,PigeonPeas,Karnataka
30,75,25,30.3,42.4,6.4,149.3,667,PigeonPeas,Karnataka
40,70,20,31.8,45,5.6,147,9000,PigeonPeas,Karnataka
38,55,19,33.2,38.2,5.9,198.8,1900,PigeonPeas,Kerala
35,58,20,29.4,63.5,5.8,90.1,11000,PigeonPeas,Kerala
38,61,21,30.3,67.4,4.7,127.8,1100,PigeonPeas,Kerala
33,58,24,35.5,68.8,5.3,108.6,4300,PigeonPeas,Kerala
16,56,17,33.8,40,7.4,176.6,2900,PigeonPeas,Kerala
31,72,17,28.7,49.5,5.8,96.4,2100,PigeonPeas,Kerala
16,80,20,31.2,56.7,7.3,122,4100,PigeonPeas,Kerala
27,72,17,29,57.2,6.3,120.7,2400,PigeonPeas,Kerala
40,62,19,27.3,34.1,4.7,96.5,1200,PigeonPeas,Kerala
18,58,16,21.5,38.8,5,180.4,3800,PigeonPeas,Kerala
3,68,16,18.3,34.7,5,107.5,2000,PigeonPeas,Kerala
26,67,24,37,37.7,5.6,161.5,4000,PigeonPeas,Kerala
16,70,20,24.8,40.1,5.6,121.6,4500,PigeonPeas,Kerala
24,63,19,19.3,56,4.7,194.6,1100,PigeonPeas,Kerala
9,76,25,28.9,50.1,5.7,179.2,6000,PigeonPeas,Kerala
16,55,19,19.5,47.2,6.4,192.4,3600,PigeonPeas,Kerala
28,75,21,24.8,50.5,6,114.3,4200,PigeonPeas,Kerala
16,71,24,18.3,38.4,4.9,139.6,2000,PigeonPeas,Kerala
24,70,21,19.1,45.4,5.5,132.8,3600,PigeonPeas,Kerala
38,72,21,28.2,49.4,5.9,186.5,1100,PigeonPeas,Kerala
9,66,21,30.1,34.1,5.7,157.1,4100,PigeonPeas,Kerala
34,56,17,33.4,35.4,4.5,139.7,3100,PigeonPeas,Kerala
1,76,19,24.2,46.7,6.7,177.3,4100,PigeonPeas,Kerala
6,69,19,26.9,41.7,4.8,94.5,3500,PigeonPeas,Kerala
26,73,21,31.3,58,4.9,161.8,3200,PigeonPeas,Kerala
27,61,18,33.3,67.1,5.3,108.5,8200,PigeonPeas,Kerala
27,71,23,23.5,46.5,7.1,150.9,3800,PigeonPeas,Kerala
36,61,21,34.5,39,5.6,168.6,1800,PigeonPeas,Kerala
17,73,18,19.5,34.5,5.6,197.4,2500,PigeonPeas,Kerala
26,72,22,28.8,37.6,4.7,91.7,1800,PigeonPeas,Kerala
17,64,16,31,32.2,7.2,180.7,3500,PigeonPeas,Kerala
14,74,19,18.4,36.8,6.6,93.1,2200,PigeonPeas,Kerala
39,60,15,35.1,31,5,116.9,4500,PigeonPeas,Kerala
6,66,15,34.9,30.4,6.3,159.3,2200,PigeonPeas,Kerala
8,59,18,29.5,35.7,6.2,187.9,4500,PigeonPeas,Kerala
2,67,18,34.5,47.5,5.9,129,2500,PigeonPeas,Kerala
1,76,17,28.4,52.1,6,147,1800,PigeonPeas,Kerala
16,73,19,18.4,34.8,4.7,163.3,19750,PigeonPeas,Kerala
32,70,20,20.9,46.2,6.2,195.6,3300,PigeonPeas,Kerala
28,59,22,30.9,52.8,7.1,171,18150,PigeonPeas,Kerala
5,62,23,27.9,66.5,4.7,145.4,10250,PigeonPeas,Kerala
36,67,25,36,36.5,6.4,136,12350,PigeonPeas,Kerala
1,66,23,19.5,56.9,4.8,173.2,1550,PigeonPeas,Kerala
17,67,18,31.2,56.5,5.6,129.2,2250,PigeonPeas,Kerala
5,55,18,33.5,45.7,7.3,126.7,3050,PigeonPeas,Kerala
5,56,24,24.8,45,5,188.5,5550,PigeonPeas,Kerala
37,77,17,36.2,31.9,5.6,191.1,10100,PigeonPeas,Kerala
13,73,20,30.5,35.5,5.4,162.6,10300,PigeonPeas,Kerala
6,63,23,26,49.9,5.9,160.3,2100,PigeonPeas,Kerala
16,77,22,31.5,35.6,6.6,100.5,1100,PigeonPeas,Kerala
25,64,20,33.2,32.5,4.8,105,1850,PigeonPeas,Kerala
20,77,23,34.9,38.8,5.2,148.3,850,PigeonPeas,Kerala
35,80,25,28.1,44.9,4.9,197.1,2900,PigeonPeas,Kerala
36,80,21,33.6,48.4,7.1,100.5,2700,PigeonPeas,Kerala
7,77,18,20.6,60.5,6.7,191.1,4600,PigeonPeas,Kerala
29,78,25,20,59.3,6,195.8,2600,PigeonPeas,Kerala
30,60,21,28.9,62.5,5.5,182.3,6500,PigeonPeas,Kerala
20,74,16,36,43.6,4.8,159.9,5750,PigeonPeas,Kerala
19,57,23,23.7,47.3,7.3,141.1,1800,PigeonPeas,Kerala
3,60,19,25.7,40.7,4.8,100.8,3600,PigeonPeas,Kerala
5,77,19,31.1,66.7,6.2,175.9,2500,PigeonPeas,Kerala
5,68,20,18.7,61.3,5,139.9,2700,PigeonPeas,Kerala
37,73,21,29.5,63.5,5.6,189.5,3450,PigeonPeas,Kerala
9,59,24,20.4,39.4,4.7,137.2,10100,PigeonPeas,Kerala
20,72,15,36,56,7.3,134.9,5000,PigeonPeas,Kerala
31,56,23,31.5,35.4,5.7,174.6,2700,PigeonPeas,Kerala
0,70,21,36.3,56,4.7,101.6,6000,PigeonPeas,Kerala
21,74,15,29.5,67.1,6.5,153.3,8500,PigeonPeas,Kerala
13,67,18,30.6,34.8,5.4,177.6,5000,PigeonPeas,Kerala
27,74,20,24.7,60,5.9,92,4600,PigeonPeas,Kerala
29,72,24,23.2,36.7,7,162.6,4600,PigeonPeas,Kerala
5,68,20,19,33.1,6.1,155.4,2700,PigeonPeas,Kerala
22,62,16,34.6,54.3,4.8,180.9,2400,PigeonPeas,Kerala
18,55,23,22,56.3,7,136.8,2700,PigeonPeas,Kerala
39,77,21,23,60.2,4.6,159.7,5000,PigeonPeas,Kerala
13,75,20,30.6,35.3,7,178.9,3600,PigeonPeas,Kerala
27,71,24,31.5,48.2,7.1,165.4,3000,PigeonPeas,Kerala
26,64,22,26,40.6,5.2,109.2,2900,PigeonPeas,Kerala
23,55,16,21,69.7,5.1,185.2,1800,PigeonPeas,Kerala
4,69,19,19.3,47.7,5.4,149.1,4600,PigeonPeas,Kerala
20,67,19,19.2,50.5,5.7,180.6,5700,PigeonPeas,Kerala
7,74,17,22.5,62.6,5.7,96.7,6100,PigeonPeas,Kerala
17,64,18,36.8,58.3,6.1,124.6,2700,PigeonPeas,Kerala
35,71,17,29.9,66.4,6.9,198.1,5900,PigeonPeas,Kerala
11,72,22,29.4,44.8,6.8,172.4,4800,PigeonPeas,Kerala
20,60,22,29.7,42.9,6.9,186.9,2400,PigeonPeas,Kerala
10,71,18,19.5,66.3,6.2,173.1,3200,PigeonPeas,Kerala
33,61,24,20,48.9,4.6,122.5,3800,PigeonPeas,Kerala
3,49,18,27.9,64.7,3.7,32.7,6100,MothBeans,Kerala
22,59,23,27.3,51.3,4.4,36.5,1300,MothBeans,Kerala
36,58,25,28.7,59.3,8.4,36.9,1600,MothBeans,Kerala
4,43,18,29,61.1,8.8,73,5600,MothBeans,Kerala
29,54,16,27.8,54.7,8.2,32.1,3600,MothBeans,Kerala
32,43,22,32,54.1,5.3,71.6,4100,MothBeans,Kerala
14,55,15,27.3,55.3,8.1,73.4,3500,MothBeans,Kerala
5,35,20,28.9,53.6,9.7,66.4,1900,MothBeans,Kerala
25,57,24,27.7,58.6,7,36.9,1100,MothBeans,Kerala
11,53,24,28.5,55.8,7.4,61.3,2300,MothBeans,Kerala
40,49,17,31,45.9,6.7,53.6,4200,MothBeans,Kerala
38,56,25,25.7,45.4,7.9,67.4,2000,MothBeans,Kerala
27,43,23,31.7,56.9,5.9,44.9,4500,MothBeans,Kerala
24,38,22,24.5,58.5,8.2,35,4500,MothBeans,Kerala
23,45,21,31.5,51.8,9,74.4,5000,MothBeans,Kerala
29,57,20,25.6,50.7,5.9,53.4,3500,MothBeans,Kerala
31,35,23,30.3,47.2,7.7,68,7000,MothBeans,Kerala
0,55,25,28.2,43.7,4.5,45.8,4000,MothBeans,Kerala
7,45,22,25.5,44.8,9.9,74.3,3500,MothBeans,Kerala
17,58,25,31.1,43.6,6.5,32.8,1400,MothBeans,Kerala
11,44,17,26.3,55.6,8,35.1,5800,MothBeans,Kerala
22,49,22,28.2,61.6,3.7,72.7,4200,MothBeans,Kerala
9,51,19,27,49.3,5.5,48.3,9800,MothBeans,Kerala
28,48,15,25.2,55.3,9.3,40.9,3800,MothBeans,Kerala
26,50,19,27.3,51.7,6,32.6,3200,MothBeans,Kerala
36,56,20,25.4,49.7,7.4,31.9,8800,MothBeans,Kerala
8,60,18,31.2,46,3.8,53.1,1800,MothBeans,Kerala
24,37,21,30.6,58.2,5.8,62.7,2450,MothBeans,Kerala
22,43,24,25.4,53.2,4.5,46.2,2100,MothBeans,Kerala
36,43,24,27.1,43.7,3.5,41.5,1400,MothBeans,Kerala
22,44,24,24.3,56.3,6,59,3800,MothBeans,Kerala
17,43,22,30.1,45.9,5.5,41.1,2100,MothBeans,Kerala
8,45,15,28.1,61,4.6,33.8,2200,MothBeans,Kerala
7,56,23,26.3,40,5.5,55.5,2700,MothBeans,Kerala
36,57,16,28.6,57.1,8.3,57,3400,MothBeans,Kerala
11,45,19,28.7,44.4,3.8,44.1,2300,MothBeans,Kerala
6,36,22,24.2,59.8,8.9,42.2,2100,MothBeans,Kerala
17,57,20,28.5,45.2,3.8,66.2,2600,MothBeans,Kerala
4,47,20,26,65,4.2,72.2,3400,MothBeans,Kerala
9,49,16,30.9,41.4,7.7,55.1,3600,MothBeans,Kerala
25,51,24,25.5,61.7,9.4,65.1,5700,MothBeans,Kerala
36,44,21,25.1,51.3,4.5,38.5,2000,MothBeans,Kerala
21,38,20,27.1,63.6,5.8,62.2,5800,MothBeans,Kerala
37,57,20,31.1,44.8,7.4,70.8,2300,MothBeans,Kerala
32,48,18,26.5,56.4,6,64.2,8600,MothBeans,Kerala
29,44,20,30,63.6,8.6,31.8,3800,MothBeans,Kerala
25,51,18,27.8,54.8,9.5,50.3,3400,MothBeans,Kerala
10,44,24,31,43,8,58.3,3400,MothBeans,Kerala
23,35,18,26.5,47.4,5.4,37,3500,MothBeans,Kerala
9,60,23,32,57.2,6.3,64.3,1400,MothBeans,Kerala
3,58,21,25.4,46.8,9.2,55.6,2800,MothBeans,Kerala
22,42,22,25.5,57,7.9,48.5,1100,MothBeans,Kerala
12,39,21,29,62.9,8.2,70.5,1900,MothBeans,Kerala
39,36,22,29.3,60.5,9.1,34,2500,MothBeans,Kerala
32,41,16,28.6,61.4,7.7,68.5,2200,MothBeans,Kerala
30,41,15,24.8,44.2,5.9,52.1,4000,MothBeans,Kerala
19,36,22,25.4,58.6,6.2,57,1800,MothBeans,Kerala
4,46,15,31,62.4,3.5,63.8,3000,MothBeans,Kerala
21,39,20,27.1,52.3,7.4,60.7,1800,MothBeans,Kerala
35,57,25,27.1,42.3,8.3,71.1,3800,MothBeans,Kerala
22,55,24,28.6,57.3,8.7,64.5,2300,MothBeans,Kerala
35,51,17,28.8,49.8,3.6,40.9,1300,MothBeans,Kerala
17,56,17,27.9,45.4,6,69.7,1900,MothBeans,Kerala
28,57,17,30.5,61.6,9.4,61.9,3200,MothBeans,Kerala
22,36,16,30.6,50.8,8.2,64.6,3100,MothBeans,Kerala
11,41,19,26.9,41.8,5.1,44.1,1700,MothBeans,Kerala
38,38,18,26.3,61.2,6.3,35.7,1900,MothBeans,Kerala
23,37,24,28.8,44.2,8,34,1300,MothBeans,Kerala
25,35,20,28.9,43.4,8.9,71.9,2100,MothBeans,Kerala
40,45,20,29.4,57.7,6.9,38.3,2100,MothBeans,Kerala
23,58,19,24.2,58.3,5.2,59.2,3100,MothBeans,Kerala
2,56,23,26.7,59.8,7.6,36.9,1300,MothBeans,Kerala
3,56,17,28.2,53.5,8.7,52.1,6100,MothBeans,Kerala
26,51,25,28.8,52.6,7.8,55.2,3100,MothBeans,Kerala
39,42,20,29.3,61.3,8.1,40.8,7100,MothBeans,Kerala
27,59,20,28,52.6,4.4,36,8900,MothBeans,Kerala
24,45,19,26.9,48.8,6,34.7,3100,MothBeans,Kerala
7,40,17,31.2,40.9,8.5,53.8,4100,MothBeans,Kerala
15,45,23,24.2,61.4,7.2,46,1400,MothBeans,Kerala
26,52,23,30,49.6,4.9,52.9,5900,MothBeans,Kerala
20,45,16,29.9,54.6,4.6,45.4,2100,MothBeans,Kerala
34,54,24,31.2,41.6,5,68.8,1300,MothBeans,Kerala
19,51,25,26.8,48.2,3.5,43.9,1700,MothBeans,Kerala
29,41,21,31.5,62.8,8.9,64.6,1100,MothBeans,Kerala
20,50,22,31,46.4,9.4,38.3,1700,MothBeans,Kerala
11,40,23,29.6,63,5.8,50.2,1900,MothBeans,Kerala
15,54,15,30,57,8.4,44.9,4300,MothBeans,Kerala
35,55,22,30.9,52.6,8.6,55.5,2100,MothBeans,Kerala
9,59,25,30.4,60.2,7.7,35.4,2300,MothBeans,Kerala
40,45,18,30.4,55.2,5.3,30.9,2700,MothBeans,Kerala
35,38,19,25.3,63.2,9.1,32.7,1700,MothBeans,Kerala
14,58,17,30.5,60,4.6,33.5,2100,MothBeans,Kerala
40,55,18,30.4,40.6,7.1,48,3500,MothBeans,Kerala
18,36,23,24,53.8,7.2,35,3600,MothBeans,Kerala
35,52,15,28.7,61.1,9.9,65.7,3500,MothBeans,Kerala
4,59,22,29.3,49,8.9,42.4,2100,MothBeans,Kerala
22,51,16,28,61.3,8.6,70.1,2300,MothBeans,Kerala
33,47,17,24.9,48.3,8.6,63.9,3200,MothBeans,Kerala
2,51,17,25.9,46,5.8,38.5,3600,MothBeans,Kerala
16,51,21,31,50,3.5,32.8,2600,MothBeans,Kerala
19,55,20,27.4,87.8,7.2,54.7,8200,MungBean,Kerala
8,54,20,28.3,80.8,7,38.8,2100,MungBean,Kerala
36,55,20,27,84.3,6.6,55.3,2100,MungBean,Kerala
10,56,16,28.2,81,6.8,36.4,1900,MungBean,Kerala
22,56,17,29.9,87.3,6.9,44.8,2600,MungBean,Kerala
9,57,24,29.9,89.7,7.2,43,1700,MungBean,Kerala
34,59,23,28.6,83.2,6.9,56.5,1900,MungBean,Kerala
31,51,25,27.5,85.6,7.2,53,2500,MungBean,Kerala
0,49,18,29.7,87.9,7,41.8,2100,MungBean,Kerala
21,39,20,28.1,82.1,7.1,46.8,2200,MungBean,Kerala
28,35,22,29.5,86.7,7.2,59.9,6000,MungBean,Kerala
17,52,17,27.9,86.5,6.4,44.6,6200,MungBean,Kerala
24,42,23,28.2,82.4,6.4,44,3000,MungBean,Kerala
28,46,16,29,85,6.7,45.9,3200,MungBean,Kerala
21,38,21,29.8,86.5,6.6,37.5,4000,MungBean,Kerala
34,60,25,29.8,85.2,6.8,40.8,2400,MungBean,Kerala
19,53,22,27.9,80.5,6.9,42.8,2500,MungBean,Kerala
31,58,15,27.1,85,7.1,51.5,3000,MungBean,Kerala
19,35,24,27.1,83.6,6.9,49.1,3800,MungBean,Kerala
24,53,17,29,89.1,6.4,57.7,2700,MungBean,Kerala
13,47,20,29.2,87.9,6.5,43.1,4000,MungBean,Kerala
31,53,16,28.7,85.8,6.5,48.5,3500,MungBean,Kerala
28,45,23,29.7,80.3,6.5,56.8,2000,MungBean,Kerala
31,37,21,27.2,86.4,6.7,37.3,2600,MungBean,Kerala
33,60,15,29,81.7,6.5,56.5,2400,MungBean,Kerala
34,45,21,28.2,82.6,6.3,37,4000,MungBean,Kerala
13,57,25,28.3,86.2,6.9,50.5,3500,MungBean,Kerala
33,57,17,27.9,88.7,6.8,57.8,4000,MungBean,Kerala
32,57,22,28.7,87.5,6.8,44.6,2000,MungBean,Kerala
23,59,25,27.8,88.7,6.3,56.7,3500,MungBean,Kerala
35,41,18,28.7,81.6,6.7,59.9,2500,MungBean,Kerala
6,48,24,28.6,84.6,6.8,48.5,2400,MungBean,Kerala
29,36,25,28.3,88.4,7.1,48.6,3000,MungBean,Kerala
4,36,22,27.6,86.1,7,43.8,4000,MungBean,Kerala
10,59,22,28.6,87,7.2,36.9,2000,MungBean,Kerala
14,48,21,29.2,84.8,7,53.4,850,MungBean,Kerala
8,50,21,28.6,89.1,6.2,50.5,3600,MungBean,Kerala
20,40,15,29.6,88.1,7.2,45,2100,MungBean,Kerala
36,43,22,27.8,87.2,6.4,58.4,2300,MungBean,Kerala
14,57,15,29.9,83.1,6.6,40.1,3600,MungBean,Kerala
11,60,23,27.3,88.5,7,51.1,1500,MungBean,Kerala
10,59,15,29.8,89.3,6.3,58.9,2200,MungBean,Kerala
7,60,25,28.3,82.8,6.4,56,2300,MungBean,Kerala
2,47,15,29.9,86,6.4,58.4,2400,MungBean,Kerala
20,45,22,29.6,90,6.9,55,1400,MungBean,Kerala
2,39,15,28.1,82.9,6.5,49.6,3000,MungBean,Kerala
27,40,24,27.8,90,7.1,52.8,7000,MungBean,Kerala
35,48,15,27.1,87.5,7,55,3800,MungBean,Kerala
4,59,25,27.7,81.9,6.2,54.6,3000,MungBean,Kerala
1,48,24,29.3,85.6,6.2,59,950,MungBean,Kerala
36,43,21,28.4,84.9,7.1,52.9,1400,MungBean,Kerala
11,46,24,27.7,89.8,6.5,56.5,1100,MungBean,Kerala
34,47,19,27.3,85.4,6.6,53.2,2200,MungBean,Kerala
21,44,18,27.1,86.9,7.1,50.5,2000,MungBean,Kerala
17,58,20,28.1,85.9,6.4,39.2,1600,MungBean,Kerala
25,40,21,27.7,81.1,6.2,44.2,3900,MungBean,Kerala
2,38,18,27.5,89.9,6.6,45.5,3600,MungBean,Kerala
9,48,20,29.7,84.3,6.4,56.1,3200,MungBean,Kerala
37,49,25,29.9,85.9,6.4,41.4,1700,MungBean,Kerala
36,38,15,28.4,87.6,6.3,58,1400,MungBean,Kerala
40,58,15,29.5,87.6,7,43.2,1100,MungBean,Kerala
30,44,16,29.7,82.9,6.4,50.9,3000,MungBean,Kerala
1,59,23,27.5,87.2,7.2,43.8,2700,MungBean,Kerala
9,48,22,27.8,87.1,6.4,49.5,3400,MungBean,Kerala
14,41,17,29.1,88.5,7.1,36.5,3900,MungBean,Kerala
35,52,19,27.1,89.9,6.7,37.5,3600,MungBean,Kerala
31,48,17,28.9,86.9,6.6,53.8,1800,MungBean,Kerala
4,41,20,28.1,83.8,6.6,37.4,1500,MungBean,Kerala
30,37,25,29.9,80.1,7.1,54.8,1200,MungBean,Kerala
9,35,20,27.4,81,6.9,40.5,3500,MungBean,Kerala
20,41,20,29.3,89.5,7.1,50.9,3800,MungBean,Kerala
37,50,23,29.7,88.5,6.5,56,1400,MungBean,Kerala
34,35,21,28.4,82.7,6.7,58.2,3500,MungBean,Kerala
14,37,15,28,84,6.6,48.9,5000,MungBean,Kerala
23,39,22,29.3,82,6.9,42,6000,MungBean,Kerala
5,45,21,28.4,88,6.5,43.1,3000,MungBean,Kerala
22,37,20,27.6,86.5,6.6,39.3,4000,MungBean,Kerala
40,51,17,28.7,86.1,6.9,50,4000,MungBean,Kerala
27,56,20,29.2,87.1,6.4,51.5,8000,MungBean,Kerala
31,40,22,29.4,86.2,6.4,53.4,1700,MungBean,Kerala
38,36,21,28,84.9,6.6,36.1,2600,MungBean,Kerala
6,37,17,28.1,80.4,6.8,38.1,1750,MungBean,Madhya Pradesh
6,47,18,29.2,80.3,6.7,40.2,750,MungBean,Madhya Pradesh
24,44,17,29.9,80,6.7,50.7,700,MungBean,Madhya Pradesh
25,59,19,29.1,83.7,6.6,44,700,MungBean,Madhya Pradesh
32,56,21,27.4,88.7,6.7,58.3,700,MungBean,Madhya Pradesh
8,45,18,27.9,85.4,7,43.3,800,MungBean,Madhya Pradesh
19,39,17,29.3,81.8,6.9,44.5,700,MungBean,Madhya Pradesh
39,37,15,29,83.8,6.8,59.8,800,MungBean,Madhya Pradesh
33,37,19,27.9,86.6,7.2,43.5,2200,MungBean,Madhya Pradesh
26,54,17,28.5,89,6.3,49.5,1200,MungBean,Madhya Pradesh
21,51,15,29.4,89.2,6.7,48.3,3200,MungBean,Madhya Pradesh
22,54,20,28.6,83.6,6.7,41,2000,MungBean,Madhya Pradesh
29,45,16,28.4,87.9,6.6,43.1,2000,MungBean,Madhya Pradesh
4,40,21,28.8,80.5,6.7,44.3,800,MungBean,Madhya Pradesh
10,37,22,28.7,89.1,7.1,58.5,900,MungBean,Madhya Pradesh
4,44,19,28,83.5,6.9,43.3,3475,MungBean,Madhya Pradesh
20,45,17,28.2,83.7,6.8,37.2,4150,MungBean,Madhya Pradesh
23,45,23,28.8,86.7,7,56.1,1325,MungBean,Madhya Pradesh
25,48,21,28.4,83.5,6.3,52.6,3350,MungBean,Madhya Pradesh
56,79,15,29.5,63.2,7.5,71.9,2000,Blackgram,Madhya Pradesh
25,62,21,26.7,68.1,7,67.2,1450,Blackgram,Madhya Pradesh
42,61,22,26.3,62.3,7.4,70.2,1700,Blackgram,Madhya Pradesh
42,73,25,34,67.2,6.5,73.2,1600,Blackgram,Madhya Pradesh
44,58,18,28,65.1,6.8,72.5,1400,Blackgram,Madhya Pradesh
50,55,16,28.8,65.3,7.6,62.3,1500,Blackgram,Madhya Pradesh
35,72,21,34,64.3,7.7,66.9,1550,Blackgram,Madhya Pradesh
30,64,20,33.9,61.6,6.6,68,5400,Blackgram,Madhya Pradesh
27,64,21,32.8,68.7,7.5,73.7,2200,Blackgram,Madhya Pradesh
50,74,17,27.1,63.4,6.5,73.8,3650,Blackgram,Madhya Pradesh
39,73,24,25.7,61.2,7.2,69.3,1300,Blackgram,Madhya Pradesh
57,67,25,32.3,66.6,7.6,64.6,650,Blackgram,Madhya Pradesh
52,63,19,29.6,68.3,6.9,67.5,1300,Blackgram,Madhya Pradesh
55,66,22,30.9,68.8,7.7,66.6,1300,Blackgram,Madhya Pradesh
51,56,18,28.1,64.2,6.7,70.9,1550,Blackgram,Madhya Pradesh
36,66,15,30.1,69.3,6.7,67.1,1915,Blackgram,Madhya Pradesh
59,55,19,31.7,62.5,7.3,69,1300,Blackgram,Madhya Pradesh
50,58,23,27.8,62.5,7.6,69.8,750,Blackgram,Madhya Pradesh
30,65,25,32.9,64.6,7.7,71.5,400,Blackgram,Madhya Pradesh
20,62,18,29.4,65,7.4,61.9,2250,Blackgram,Madhya Pradesh
58,71,15,27.8,67.6,6.9,74,3250,Blackgram,Madhya Pradesh
25,71,24,28.5,60.4,7.2,74.9,450,Blackgram,Madhya Pradesh
52,71,16,27.7,68.5,7.1,71.8,1100,Blackgram,Madhya Pradesh
40,63,18,30.4,67.7,6.7,63,750,Blackgram,Madhya Pradesh
20,60,25,27.3,69.1,6.7,61.2,550,Blackgram,Madhya Pradesh
48,61,21,30.3,61.7,6.6,65.6,400,Blackgram,Maharashtra
49,68,22,28.6,61.5,7.1,63.5,4000,Blackgram,Maharashtra
48,62,15,25.4,66.6,7.5,65.8,5300,Blackgram,Maharashtra
32,66,17,34.9,65.3,7.2,70.1,910,Blackgram,Maharashtra
21,63,22,25.1,67.7,6.9,74.6,4220,Blackgram,Maharashtra
20,72,19,32.5,64.3,7.4,65.8,5200,Blackgram,Maharashtra
25,65,21,33.9,68.6,6.9,69.2,1350,Blackgram,Maharashtra
41,78,21,25.2,60.4,6.6,70.9,510,Blackgram,Maharashtra
53,67,17,31.8,69,7.3,61.5,10000,Blackgram,Maharashtra
39,60,21,34.9,63.6,7,64.7,1800,Blackgram,Maharashtra
25,76,17,31.7,68.6,7.2,62.3,1100,Blackgram,Maharashtra
21,78,19,27.2,66.8,6.9,69.9,1050,Blackgram,Maharashtra
57,60,17,26.2,67.9,7.5,73.6,2450,Blackgram,Maharashtra
56,75,15,30.2,60.1,7.2,66.4,4600,Blackgram,Maharashtra
49,72,15,31.6,67.8,7.1,74.9,3625,Blackgram,Maharashtra
24,80,19,29.7,69.1,6.8,65.7,4500,Blackgram,Maharashtra
49,76,18,27.1,67.7,7.4,60.5,450,Blackgram,Maharashtra
28,68,19,34.6,61.4,7.7,72.4,1350,Blackgram,Maharashtra
55,78,21,33.4,62.9,6.6,63.6,250,Blackgram,Maharashtra
50,64,25,28.8,63.4,6.7,70.3,200,Blackgram,Maharashtra
34,80,19,31.5,63.1,6.5,71.5,250,Blackgram,Maharashtra
20,68,23,25.5,64,7.7,63.2,200,Blackgram,Maharashtra
55,67,16,34.4,69.7,6.6,70.3,4860,Blackgram,Maharashtra
23,70,15,34.6,63.1,7.4,60.4,3745,Blackgram,Maharashtra
53,74,15,29.4,64.9,7.5,72.2,5325,Blackgram,Maharashtra
26,67,16,29.1,67.9,7.2,67.8,2000,Blackgram,Maharashtra
33,80,22,28.6,65.7,6.6,70.1,4000,Blackgram,Maharashtra
37,79,19,27.5,69.3,7.1,69.4,3651,Blackgram,Maharashtra
33,75,21,33,68.9,6.7,62.3,5200,Blackgram,Maharashtra
22,55,20,34,70,7.4,61.2,1900,Blackgram,Maharashtra
20,68,17,30.1,60.1,6.6,71.7,351,Blackgram,Maharashtra
43,68,20,29.6,66.2,7.5,69.4,7800,Blackgram,Maharashtra
44,76,22,27.3,68,7.8,68.9,3500,Blackgram,Maharashtra
34,60,16,31.4,64.2,7.3,63.9,1000,Blackgram,Maharashtra
21,72,17,31.5,66.6,7.6,61.7,2500,Blackgram,Maharashtra
25,68,19,29.4,64.3,7.1,67.5,4000,Blackgram,Maharashtra
41,62,15,29.4,64.1,7.4,65.2,1500,Blackgram,Maharashtra
28,65,23,28.4,61.9,7.4,74.2,1500,Blackgram,Maharashtra
35,64,15,28.5,63.5,6.5,69.5,800,Blackgram,Maharashtra
52,58,16,30.6,61.1,7.2,71.4,1000,Blackgram,Maharashtra
58,75,25,25.3,61.4,7.3,68.6,1000,Blackgram,Maharashtra
34,66,19,33,60.2,7.6,73.4,1500,Blackgram,Maharashtra
52,70,16,33.7,66.6,7.5,67.3,2500,Blackgram,Maharashtra
23,57,19,32.8,68,7.3,73.4,4,Blackgram,Maharashtra
42,58,25,27.5,62.9,6.5,69.5,2000,Blackgram,Maharashtra
37,62,17,25.7,69.8,7.1,74.6,3000,Blackgram,Maharashtra
44,75,22,30,64.1,7.6,71.2,1300,Blackgram,Maharashtra
21,80,20,28.2,68.3,7.4,64.3,2000,Blackgram,Maharashtra
